"","plant","otu"
"1","misc","OTU4"
"2","misc","OTU6"
"3","misc","OTU21"
"4","misc","OTU10"
"5","misc","OTU2"
"6","misc","OTU15"
"7","misc","OTU41"
"8","misc","OTU32"
"9","misc","OTU430"
"10","misc","OTU519"
"11","misc","OTU14"
"12","misc","OTU23"
"13","misc","OTU47"
"14","misc","OTU3994"
"15","misc","OTU18"
"16","misc","OTU48"
"17","misc","OTU192"
"18","misc","OTU84"
"19","misc","OTU5"
"20","misc","OTU995"
"21","misc","OTU7"
"22","misc","OTU1334"
"23","misc","OTU90"
"24","misc","OTU2771"
"25","misc","OTU190"
"26","misc","OTU10438"
"27","misc","OTU537"
"28","misc","OTU81"
"29","misc","OTU50"
"30","misc","OTU180"
"31","misc","OTU1674"
"32","s16","OTU2"
"33","s16","OTU6"
"34","s16","OTU4"
"35","s16","OTU7"
"36","s16","OTU430"
"37","s16","OTU47"
"38","s16","OTU10"
"39","s16","OTU18"
"40","s16","OTU23"
"41","s16","OTU192"
"42","s16","OTU14"
"43","s16","OTU41"
"44","s16","OTU21"
"45","s16","OTU15"
"46","s16","OTU32"
"47","s16","OTU90"
"48","s16","OTU5"
"49","s16","OTU537"
"50","s16","OTU190"
"51","s16","OTU995"
"52","s16","OTU2771"
"53","s16","OTU9197"
"54","s16","OTU84"
"55","s16","OTU275"
"56","s16","OTU6096"
"57","s16","OTU519"
"58","s16","OTU7737"
"59","s16","OTU29"
"60","s16","OTU48"
"61","s16","OTU10438"
"62","s16","OTU50"
"63","s16","OTU389"
"64","s17","OTU2"
"65","s17","OTU4"
"66","s17","OTU6"
"67","s17","OTU7"
"68","s17","OTU5"
"69","s17","OTU192"
"70","s17","OTU430"
"71","s17","OTU90"
"72","s17","OTU4223"
"73","s17","OTU47"
"74","s17","OTU18"
"75","s17","OTU537"
"76","s17","OTU14"
"77","s17","OTU10"
"78","s17","OTU9197"
"79","s17","OTU21"
"80","s17","OTU519"
"81","s17","OTU2771"
"82","s17","OTU23"
"83","s17","OTU84"
"84","s17","OTU41"
"85","s17","OTU995"
"86","s17","OTU7737"
"87","s17","OTU32"
"88","s17","OTU15"
"89","s17","OTU275"
"90","s17","OTU190"
"91","s17","OTU86"
