plant,OTU
m16,OTU10
m16,OTU4
m16,OTU6
m16,OTU2
m16,OTU3994
m16,OTU15
m16,OTU41
m16,OTU519
m16,OTU21
m16,OTU430
m16,OTU14
m16,OTU32
m16,OTU23
m16,OTU18
m16,OTU47
m16,OTU48
m16,OTU192
m16,OTU84
m16,OTU5
m16,OTU995
m16,OTU90
m16,OTU7
m16,OTU2771
m16,OTU1674
s17,OTU4
s17,OTU2
s17,OTU5
s17,OTU6
s17,OTU7
s17,OTU18
s17,OTU430
s17,OTU192
s17,OTU90
s17,OTU10
s17,OTU14
s17,OTU9197
s17,OTU4223
s17,OTU47
s17,OTU537
s17,OTU21
s17,OTU84
s17,OTU519
s17,OTU2771
s17,OTU41
s16,OTU2
s16,OTU6
s16,OTU4
s16,OTU7
s16,OTU430
s16,OTU47
s16,OTU23
s16,OTU21
s16,OTU41
s16,OTU10
s16,OTU18
s16,OTU192
s16,OTU14
s16,OTU15
s16,OTU5
s16,OTU537
s16,OTU32
s16,OTU90
s16,OTU2771
s16,OTU9197
s16,OTU84
s16,OTU190
s16,OTU995
s16,OTU6096
s16,OTU10438
s16,OTU81
s16,OTU3963
s16,OTU519
s16,OTU29
s16,OTU179
s16,OTU50
s16,OTU132
s16,OTU7737
s16,OTU48
s16,OTU275
s16,OTU89
s16,OTU389
